,candidate,county,votes
371,Other,Screven,94
372,Donald J. Trump,Seminole,2345
373,Hillary Clinton,Seminole,1189
374,Other,Seminole,48
375,Donald J. Trump,Spalding,15646
376,Hillary Clinton,Spalding,9357
377,Other,Spalding,597
378,Donald J. Trump,Stephens,7686
379,Hillary Clinton,Stephens,1837
380,Other,Stephens,243
381,Donald J. Trump,Stewart,805
382,Hillary Clinton,Stewart,1222
383,Other,Stewart,28
384,Donald J. Trump,Sumter,5276
385,Hillary Clinton,Sumter,5520
386,Other,Sumter,178
387,Donald J. Trump,Talbot,1196
388,Hillary Clinton,Talbot,2002
389,Other,Talbot,46
390,Donald J. Trump,Taliaferro,349
391,Hillary Clinton,Taliaferro,545
392,Other,Taliaferro,3
393,Donald J. Trump,Tattnall,5096
394,Hillary Clinton,Tattnall,1681
395,Other,Tattnall,109
396,Donald J. Trump,Taylor,2064
397,Hillary Clinton,Taylor,1296
398,Other,Taylor,45
399,Donald J. Trump,Telfair,2450
400,Hillary Clinton,Telfair,1313
401,Other,Telfair,32
402,Donald J. Trump,Terrell,1874
403,Hillary Clinton,Terrell,2267
404,Other,Terrell,40
405,Donald J. Trump,Thomas,11228
406,Hillary Clinton,Thomas,7142
407,Other,Thomas,368
408,Donald J. Trump,Tift,9584
409,Hillary Clinton,Tift,4347
410,Other,Tift,244
411,Donald J. Trump,Toombs,6615
412,Hillary Clinton,Toombs,2338
413,Other,Toombs,158
414,Donald J. Trump,Towns,5383
415,Hillary Clinton,Towns,1210
416,Other,Towns,146
417,Donald J. Trump,Treutlen,1809
418,Hillary Clinton,Treutlen,862
419,Other,Treutlen,32
420,Donald J. Trump,Troup,15750
421,Hillary Clinton,Troup,9713
422,Other,Troup,561
423,Donald J. Trump,Turner,2095
424,Hillary Clinton,Turner,1246
425,Other,Turner,53
426,Donald J. Trump,Twiggs,2035
427,Hillary Clinton,Twiggs,1971
428,Other,Twiggs,50
429,Donald J. Trump,Union,9852
430,Hillary Clinton,Union,1963
431,Other,Union,229
432,Donald J. Trump,Upson,7292
433,Hillary Clinton,Upson,3475
434,Other,Upson,167
435,Donald J. Trump,Walker,18950
436,Hillary Clinton,Walker,4215
437,Other,Walker,791
438,Donald J. Trump,Walton,31125
439,Hillary Clinton,Walton,8292
440,Other,Walton,1055
441,Donald J. Trump,Ware,8513
442,Hillary Clinton,Ware,3440
443,Other,Ware,206
444,Donald J. Trump,Warren,991
445,Hillary Clinton,Warren,1314
446,Other,Warren,28
447,Donald J. Trump,Washington,4149
448,Hillary Clinton,Washington,4200
449,Other,Washington,98
450,Donald J. Trump,Wayne,8153
451,Hillary Clinton,Wayne,2041
452,Other,Wayne,192
453,Donald J. Trump,Webster,630
454,Hillary Clinton,Webster,473
455,Other,Webster,13
456,Donald J. Trump,Wheeler,1421
457,Hillary Clinton,Wheeler,646
458,Other,Wheeler,35
459,Donald J. Trump,White,9761
460,Hillary Clinton,White,1674
461,Other,White,348
462,Donald J. Trump,Whitfield,21537
463,Hillary Clinton,Whitfield,7937
464,Other,Whitfield,924
465,Donald J. Trump,Wilcox,2096
466,Hillary Clinton,Wilcox,852
467,Other,Wilcox,25
468,Donald J. Trump,Wilkes,2572
469,Hillary Clinton,Wilkes,1848
470,Other,Wilkes,57
471,Donald J. Trump,Wilkinson,2333
472,Hillary Clinton,Wilkinson,1894
473,Other,Wilkinson,51
474,Donald J. Trump,Worth,6152
475,Hillary Clinton,Worth,2020
476,Other,Worth,108
